Team Number,Match,AC1T,AC1,AC2T,AC2,AC3T,AC3,AC4T,AC4,AARL,AARH,AAP,AAB,AM,TC1T,TC1,TC2T,TC2,TC3T,TC3,TC4T,TC4,TARL,TARH,TAP,TAB,EP,Auton Coral L 1,Auton Coral L 2,Auton Coral L3,Auton Coral L 4,Auton Algae Process,Auton Algae Barge,Auton Points,Teleop Coral L 1,Teleop Coral L2,Teleop Coral L3,Teleop Coral L4,Teleop Algae Barged,Teleop Algae Processed,Teleop Algae Barged HP,Parked Endgame,Teleop Points,% L1,% L2,% L3,% L4,Points Total,Deep Climb,Shallow Climb,Breaking,Auton Coral L1 Rate,Auton Coral L2 Rate,Auton Coral L3 Rate,Auton Coral L4 Rate,Defense,Teleop Coral L1 Rate,Teleop Coral L2 Rate,Teleop Coral L3 Rate,Teleop Coral L4 Rate,Auton Algae Removed,Algae Teleop Removed,Total Auton Coral Success,Total Teleop Coral Sucess,Algae Capability,Auton Coral Attempt,Teleop Coral Attempt
6217,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,2,2,0%,0%,0%,0%,2,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,0,0,0
8516,38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,2,0,0,1,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,2,3,8,0,0,0,0,2,15,14%,57%,29%,0%,15,0,0,0,FALSE,FALSE,FALSE,FALSE,0,100%,25%,100%,FALSE,0,1,FALSE,4,1,0,7
6318,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,0,0,0,1,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,12,0,0,0,0,0,12,0%,0%,100%,0%,12,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,33%,FALSE,0,1,FALSE,3,2,0,9
1732,39,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,12,7,0,1,0,0,3,FALSE,FALSE,FALSE,7,0,0,7,0,0,0,35,0,0,0,6,41,0%,0%,0%,100%,48,1,0,0,FALSE,FALSE,FALSE,33%,0,FALSE,FALSE,FALSE,58%,0,1,1,7,2,3,12
4181,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,5,0,0,0,2,7,0%,0%,0%,100%,7,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,100%,0,1,FALSE,1,2,0,1
2181,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,4,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,4,20,0,0,0,2,26,0%,0%,14%,86%,26,0,0,0,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,100%,67%,0,0,FALSE,5,0,0,7
5826,39,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,FALSE,FALSE,FALSE,7,0,0,7,0,0,0,10,0,0,0,0,10,0%,0%,0%,100%,17,0,0,1,FALSE,FALSE,FALSE,100%,0,FALSE,FALSE,FALSE,100%,0,0,1,2,0,1,2
4511,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,9,0,0,0,0,0,2,11,0%,100%,0%,0%,11,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,100%,FALSE,FALSE,0,0,FALSE,3,0,0,3
7797,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,0,0,1,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,16,0,0,0,0,2,18,0%,0%,100%,0%,18,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,80%,FALSE,0,1,FALSE,4,1,0,5
1306,40,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,7,7,0,0,0,0,0,FALSE,FALSE,FALSE,7,0,0,7,0,0,0,35,0,0,0,0,35,20%,0%,0%,80%,42,0,0,1,FALSE,FALSE,FALSE,100%,0,0%,FALSE,FALSE,100%,0,0,1,7,0,1,9
3291,40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,100%,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0%,0,0,FALSE,0,0,0,1
